FILE,notch_x@t,notch_z@b,notch_z@e,notch_z@t,st2@e,st2@t,st3@b,st3@t,thread@b,thread@t,undef@b,undef@t,undercut_x@b,undercut_x@t
00,,,,,9,,,,,,,,,
01,6,,,,,,,,,,,,,
02,,,,,,,,,,6,,,,7
03,,,,,,,,,3,,,,,
04,,,5,,,,,,,,,,,
05,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,
07,,,,,,,,9,,7+10,,,,8
08,5,,,,,,,,,,,,,
14,,,,5,,,,,,,,,,
15,7+8,,,,,,,,,,,,,
15_1,7+8+9,,,,,,,,,,,,,
15_2,7+8+9,,,,,,,,,,,,,
15_3,7+8+9+10+11,,,,,,,,,,,,,
16,,,,,,,,,,6,,,,7
16_1,,,,,,8,,,,6,,,,7
18,6,,,,,,,,,,,,,
19,,,5,,,,,,,,,,,
20,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,6
24,,,7,,,,,,4,,,,5,
24_1,,5,7,,,,,,,,4,,,
24_2,,,6,,,,,,,,4,,,
24_3,,,,,7,,5,,4,,,,,
25,,,,,,,,,,,,,,
26,7+8,,,,,,,,,,,,,
28,,,,,,,,,,8,3,9,,
29,,,,6,,,,,,,,,,
30,8,,,,,,,,,7,,,,
