FILE,notch_x@t,notch_z@b,notch_z@e,notch_z@t,st1@b,st2@e,st2@t,st3@b,st3@t,thread@b,thread@t,undef@b,undercut_x@b,undercut_x@t
00,,,,,,9,,,,,,,,
01,6,,,,,,,,,,,,,
02,,,,,,,,,,,6,,,7
03,,,,,,,,,,3,,,,
04,,,5,,,,,,,,,,,
05,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,
07,,,,,,,,,9,,7+10,,,8
08,5,,,,,,,,,,,,,
09,,,,,,,,,,4,,,5,
10,,,,,,,,,,,,,,
11,6,,,,,,,,7,,,,,10
12,,,,,,,,,,,6,,,7
13,,4,,,,,,,,,,,,9
14,,,,5,,,,,,,,,,
15,7+8,,,,,,,,,,,,,
15_1,7+8+9,,,,,,,,,,,,,
15_2,7+8+9,,,,,,,,,,,,,
15_3,7+8+9+10+11,,,,,,,,,,,,,
16,,,,,,,,,,,6,,,7
16_1,,,,,,,8,,,,6,,,7
17,,,,,,,,,6,,,,,
18,6,,,,,,,,,,,,,
19,,,5,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,7,,,,,9
22,,,,,,,,,,,,,,6
23,,,,,3,,,4,9+10+11,,,,,
24,,,7,,,,,,,4,,,5,
24_1,,5,7,,,,,,,,,4,,
24_2,,,6,,,,,,,,,4,,
24_3,,,,,,7,,5,,4,,,,
25,,,,,,,,,,,,,,
26,7+8,,,,,,,,,,,,,
27,,,,,,,,2,6,,,,,
28,,,,,,,,,,,,,,
29,,,,6,,,,,,,,,,
30,8,,,,,,,,,,7,,,
